UID,DTSTAMP,DTSTART,DTEND,DURATION,SUMMARY,DESCRIPTION,LOCATION,STATUS,CLASS,TRANSP,PRIORITY,SEQUENCE,RRULE,EXDATE,RDATE,ATTENDEE,ORGANIZER,CATEGORIES,CREATED,LAST-MODIFIED,URL,ATTACH,Validation_Flag
114,20250826T1348,20250414T000000Z,20250416T000000Z,P3D,Choul Chnam Thmey (Cambodian/Khmer New Year),"Khmer New Year is usually a three-day public holiday in Cambodia. 'Choul Chnam Thmey' means 'enter the new year'. The New Year coincides with the traditional solar new year in several parts of India, Bangladesh, Nepal, Sri Lanka, Myanmar, Laos and Thailand. Traditionally it marks the end of the harvesting season when farmers enjoy the fruits of their labour before the rainy season begins. A three-day public holiday is observed in the country.",Cambodia,,,,,,,,,,,,,20250826T1348,,,
115,20250826T1348,20250415T000000Z,20250415T000000Z,P1D,Pohela Boishakh (Bengali New Year),Pohela Boishakh marks the first day of the Bangla Calendar. People clean and decorate their houses to welcome the New Year. They visit temples and pray for good fortune and prosperity in the coming year.,Bengali,,,,,,,,,,,,,20250826T1348,,,
116,20250826T1348,20250417T000000Z,20250417T000000Z,P1D,Maundy Thursday (Holy Thursday),"Maundy commemorates the washing of the feet (Maundy) and the Last Supper of Jesus Christ with the Apostles, as described in the Christian New Testament. In 2025, Protestant, Catholic and Orthodox Christians commemorate this on the same date.",Christianity,,,,,,,,,,,,,20250826T1348,,,
117,,20250417T000000Z,20250417T000000Z,P1D,National Day (Syrian Arab Republic),National Day of Syrian Arab Republic,Syrian Arab Republic,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
118,20250826T1348,20250418T000000Z,20250418T000000Z,P1D,Good Friday,"Good Friday is a solemn Christian remembrance of the suffering and crucifixion of Jesus Christ. Many countries observe Good Friday as a national holiday on the Friday before Easter. In 2025, Protestant, Catholic and Orthodox Christians commemorate this on the same date.",Christianity,,,,,,,,,,,,,20250826T1348,,,
119,20250826T1348,20250418T000000Z,20250418T000000Z,P1D,Good Friday (Christianity),"Also known as Holy Friday; it is a religious and national holiday in Australia and is held on the Friday before Easter Sunday. On this day, Christians commemorate the crucifixion of Jesus Christ.",Christianity,,,,,,,,,,,,,20250826T1348,,,
120,,20250418T000000Z,20250418T000000Z,P1D,Independence Day (Zimbabwe),National Day of Zimbabwe,Zimbabwe,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
121,20250826T1348,20250419T000000Z,20250419T000000Z,P1D,Holy Saturday,"Holy Saturday is a Christian commemoration of the final day of Christ's death. It is associated with traditions regarding Christ's triumphant descent into hell and a 40-hour-long vigil that followers of Jesus Christ held after his burial on Good Friday. In 2025, Protestant, Catholic and Orthodox Christians commemorate this on the same date.",Christianity,,,,,,,,,,,,,20250826T1348,,,
122,20250826T1348,20250420T000000Z,20250420T000000Z,P1D,Easter Sunday,"Easter Sunday is regarded by Christians as the day of the resurrection of Jesus Christ. In 2025, Protestant, Catholic and Orthodox Christians commemorate this on the same date.",Christianity,,,,,,,,,,,,,20250826T1348,,,
123,20250826T1348,20250420T000000Z,20250420T000000Z,P1D,Easter Sunday (Christianity),"Easter Sunday is a religious and national holiday in Australia. On this day, Christians commemorate the resurrection of Jesus Christ following his death by crucifixion.",Christianity,,,,,,,,,,,,,20250826T1348,,,
124,20250826T1348,20250420T000000Z,20250420T000000Z,P1D,Orthodox Easter,"Orthodox Easter Sunday follows the Julian calendar, rather than the Gregorian calendar used by most western countries and Christian denominations.",Orthodox,,,,,,,,,,,,,20250826T1348,,,
125,20250826T1348,20250420T000000Z,20250501T000000Z,P12D,Ridvan,"Ridvan is the most significant festival of the Baha'i faith and is celebrated over 12 days. The First Day of Ridvan is the most important of the Baha'i Holy Days. It is the day Baha'u'll√°h declared his mission as a messenger of God in the Garden of Ridvan. The festival's first, ninth and twelfth days are considered significant days and work is suspended.",Baha'i,,,,,,,,,,,,,20250826T1348,,,
126,20250826T1348,20250421T000000Z,20250421T000000Z,P1D,Easter Monday,"Easter Monday is the day after Easter Sunday in Eastern or Western Christian traditions. The day marks the resurrection of Jesus Christ three days after his crucifixion. In 2025, Protestant, Catholic and Orthodox Christians commemorate this on the same date.",Christianity,,,,,,,,,,,,,20250826T1348,,,
127,20250826T1348,20250422T000000Z,20250422T000000Z,P1D,Earth Day,,International,,,,,,,,,,,,,20250826T1348,,,REQUIRES_VALIDATION
128,20250826T1348,20250423T000000Z,20250423T000000Z,P1D,St George's Day,"St George is the patron saint of England and one of the most venerated saints in the Anglican church. This day is generally celebrated with parades, dancing and other celebratory activities.",England,,,,,,,,,,,,,20250826T1348,,,
129,20250826T1348,20250423T000000Z,20250424T000000Z,P1D,Yom HaShoah (Judaism),Yom HaShoah (Holocaust Remembrance Day) is a day set aside to remember the millions of Jews who died as victims of the Nazis during World War II and emphasises respect for human dignity.,Judaism,,,,,,,,,,,,,20250826T1348,,,
130,20250826T1348,20250425T000000Z,20250425T000000Z,P1D,ANZAC Day,"ANZAC stands for Australian and New Zealand Army Corps. ANZAC Day is an anniversary of the day when Australian and New Zealand soldiers landed in Galipoli in 1915 as part of the Allies' invasion. It is a public holiday to recognise the contribution and sacrifices of all those who have served Australia in time of war and in war like conflicts. The day is observed with the dawn service, marches and ceremonies across Australia and New Zealand.",Australia,,,,,,,,,,,,,20250826T1348,,,
131,20250826T1348,20250425T000000Z,20250425T000000Z,P1D,"ANZAC Day (Australia, New Zealand)","On 25 April 1915,† Australian and New Zealand soldiers formed part of the allied expedition that set out to capture the Gallipoli peninsula. These became known as Anzacs, and the pride they took in that name continues to this day.†",Australia & New Zealand,,,,,,,,,,,,,20250826T1348,,,
132,,20250426T000000Z,20250426T000000Z,P1D,"Union Day (Tanzania, United Republic Of)","National Day of Tanzania, United Republic Of","Tanzania, United Republic Of",,,,,,,,,,,,,,,,REQUIRES_VALIDATION
133,,20250427T000000Z,20250427T000000Z,P1D,Freedom Day (South Africa),National Day of South Africa,South Africa,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
134,,20250427T000000Z,20250427T000000Z,P1D,Independence Day (Sierra Leone),National Day of Sierra Leone,Sierra Leone,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
135,,20250427T000000Z,20250427T000000Z,P1D,Koningsdag (Netherlands),King's Day / Official Birthday of His Majesty King Willem-Alexander,Netherlands,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
136,,20250427T000000Z,20250427T000000Z,P1D,Togolais National Day (Togo),Togolais National Day / Independence Day,Togo,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
137,,20250501T000000Z,20250501T000000Z,P1D,Constitution Day (Marshall Islands),National Day of Marshall Islands,Marshall Islands,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
138,,20250503T000000Z,20250503T000000Z,P1D,National Independence Day (Poland),National Day of Poland,Poland,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
139,20250826T1348,20250505T000000Z,20250505T000000Z,P1D,Cinco de Mayo,Cinco de Mayo marks the anniversary of the 1862 victory over invading French forces by Mexican troops at the Battle of Puebla. It is an important day of celebration of Mexican culture.,Mexico,,,,,,,,,,,,,20250826T1348,,,
140,,20250508T000000Z,20250508T000000Z,P1D,Yom Ha'atzmaut (Israel),National Day of Israel,Israel,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
141,,20250509T000000Z,20250509T000000Z,P1D,Europe Day (European Union),,European Union,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
142,20250826T1348,20250512T000000Z,20250512T000000Z,P1D,Wesak or Vesak Day (Buddhism),"Vesak celebrates the birth, enlightenment and death of the Buddha on the one day. It is recognised by the UN -to acknowledge the contribution that Buddhism, one of the oldest religions in the world, has made for over two and a half millennia and continues to make to the spirituality of humanity'.",Buddhism,,,,,,,,,,,,,20250826T1348,,,
143,20250826T1348,20250512T000000Z,20250518T000000Z,P6D,Neighbourhood Centre Week,,Australia,,,,,,,,,,,,,20250826T1348,,,REQUIRES_VALIDATION
144,,20250514T000000Z,20250514T000000Z,P1D,Independence Day (Paraguay),National Day of Paraguay,Paraguay,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
145,20250826T1348,20250515T000000Z,20250515T000000Z,P1D,Global Accessibility Awareness Day (GAAD) ,"The purpose of GAAD is to get everyone talking, thinking and learning about digital access and inclusion, and the more than One Billion people with disabilities/impairments.",International,,,,,,,,,,,,,20250826T1348,,,
146,,20250517T000000Z,20250517T000000Z,P1D,Constitution Day (Norway),National Day of Norway,Norway,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
147,20250826T1348,20250517T000000Z,20250517T000000Z,P1D,"IDAHOBIT†(International Day Against Homophobia, Biphobia, Intersexism & Transphobia)",,International,,,,,,,,,,,,,20250826T1348,,,REQUIRES_VALIDATION
148,20250826T1348,20250517T000000Z,20250517T000000Z,P1D,"International Day Against Homophobia, Biphobia, Interphobia and Transphobia†(IDAHOBIT) ",People are encouraged to wear the rainbow on 17 May and use the day as a 'catalyst for creating safe spaces for LGBTIQ people all year round!'†,International,,,,,,,,,,,,,20250826T1348,,,
149,20250826T1348,20250519T000000Z,20250525T000000Z,P6D,National Volunteer Week,,Australia,,,,,,,,,,,,,20250826T1348,,,REQUIRES_VALIDATION
150,20250826T1348,20250520T000000Z,20250520T000000Z,P1D,Dehwa Daymaneh,This date marks the Mandean celebration of the birthday of Yahya Yohana (John the Baptist).,Mandean,,,,,,,,,,,,,20250826T1348,,,
151,,20250520T000000Z,20250520T000000Z,P1D,National Unity Day (Cameroon),National Day of Cameroon,Cameroon,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
152,,20250520T000000Z,20250520T000000Z,P1D,Restoration of Independence (Timor-Leste),National Day of Timor-Leste,Timor-Leste,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
153,20250826T1348,20250521T000000Z,20250521T000000Z,P1D,World Day for Cultural Diversity for Dialogue and Development,"In 2001, UNESCO adopted the Universal Declaration on Cultural Diversity. In December 2002, the UN General Assembly, in its resolution 57/249, declared 21†May to be the World Day for Cultural Diversity for Dialogue and Development.",International,,,,,,,,,,,,,20250826T1348,,,
154,,20250522T000000Z,20250522T000000Z,P1D,Unification Day (Yemen),National Day of Yemen,Yemen,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
155,20250826T1348,20250522T000000Z,20250523T000000Z,P2D,Declaration of the B·b,This date marks the anniversary of the B√°b's announcement of his mission in 1844. The B√°b is a prophet and is considered one of the founders of the Baha'i faith.,Baha'i,,,,,,,,,,,,,20250826T1348,,,
156,20250826T1348,20250523T000000Z,20250523T000000Z,P1D,Vesak Day or Buddha Day,"Vesak or Buddha Day is an important day of celebration for Buddhists around the world. The holiday is celebrated to commemorate the Buddha's birth, enlightenment and death. The date varies by region and tradition.",Buddhism,,,,,,,,,,,,,20250826T1348,,,
157,,20250524T000000Z,20250524T000000Z,P1D,Ecuador's Independence Day (Ecuador),National Day of Ecuador,Ecuador,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
158,,20250524T000000Z,20250524T000000Z,P1D,Independence Day (Eritrea),National Day of Eritrea,Eritrea,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
159,,20250525T000000Z,20250525T000000Z,P1D,Africa Day (Africa Union),National Day of Africa Union,Africa Union,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
160,,20250525T000000Z,20250525T000000Z,P1D,Independence Day (Jordan),National Day of Jordan,Jordan,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
161,,20250525T000000Z,20250525T000000Z,P1D,National Day (Argentina),National Day of Argentina,Argentina,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
162,,20250526T000000Z,20250526T000000Z,P1D,King's Birthday (Denmark),National Day of Denmark,Denmark,,,,,,,,Review annually because it depends on the reigning monarch.,,,,,,,,REQUIRES_VALIDATION
163,,20250526T000000Z,20250526T000000Z,P1D,National Day (Georgia),National Day of Georgia,Georgia,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
164,20250826T1348,20250526T000000Z,20250526T000000Z,P1D,National Sorry Day,"National Sorry Day acknowledges and raises awareness of the history and continued effect of the forced removal of Aboriginal and Torres Strait Islander people from their families, communities and culture.",Australia,,,,,,,,,,,,,20250826T1348,,,
165,20250826T1348,20250527T000000Z,20250527T000000Z,P1D,1967 Referendum Anniversary,"The 1967 Referendum was a landmark achievement following decades of activism by Aboriginal and Torres Strait Islander and non-Indigenous people, where more than 90 percent of Australians voted in favour of amending two sections of the Australian Constitution.",Australia,,,,,,,,,,,,,20250826T1348,,,
166,20250826T1348,20250527T000000Z,20250528T000000Z,P2D,Ascension of Baha'u'll·h,"Ascension of Baha'u'll√°h commemorates the anniversary of the death in 1892 of Baha'u'll√°h, the founder of the Baha'i faith. This solemn anniversary is a day of rest and is often observed by reading or chanting from the scriptures. Many pilgrims visit the Baha'i shrines and tomb in Israel to pray. The Baha'i day ends and a new one begins at sunset. Consequently, the day on which a Feast or Holy Day is observed starts at sundown of the day before the Gregorian calendar dates listed.",Baha'i,,,,,,,,,,,,,20250826T1348,,,
167,20250826T1348,20250527T000000Z,20250603T000000Z,P7D,National Reconciliation Week,National Reconciliation Week celebrations commemorate two significant milestones in the reconciliation journey-the anniversaries of the successful 1967 Referendum and the High Court Mabo Decision.,Australia,,,,,,,,,,,,,20250826T1348,,,
168,,20250528T000000Z,20250528T000000Z,P1D,National Day (Azerbaijan),National Day of Azerbaijan,Azerbaijan,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
169,,20250528T000000Z,20250528T000000Z,P1D,Victory of Adwa Day (Ethiopia),National Day of Ethiopia,Ethiopia,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
170,20250826T1348,20250529T000000Z,20250529T000000Z,P1D,Ascension of Christ,"A Christian holiday that commemorates Jesus Christ's ascension into heaven, according to Christian belief.",Christianity,,,,,,,,,,,,,20250826T1348,,,
171,,20250530T000000Z,20250530T000000Z,P1D,Statehood Day (Croatia),National Day of Croatia,Croatia,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
172,20250826T1348,20250531T000000Z,20250531T000000Z,P1D,Dano Festival,Dano is an official holiday in both North and South Korea to celebrate the ending of spring as the summer season is welcomed. The day marks the beginning of growing season when the farmers have finished seeding and planting and the†Yang†energy is at its highest.†,North and South Korea,,,,,,,,,,,,,20250826T1348,,,
173,20250826T1348,20250531T000000Z,20250531T000000Z,P1D,Dragon Boat Festival,"Dragon Boat Festival (Duanwu Jie or Double Fifth Festival) commemorates the death of the Chinese poet Qu Yuan. It is celebrated in China, Taiwan, Malaysia, Singapore and parts of Indonesia. Cultural events involve eating rice dumplings and traditional dragon boat racing.",Internantional,,,,,,,,,,,,,20250826T1348,,,
174,,20250601T000000Z,20250601T000000Z,P1D,Independence Day (Samoa),National Day of Samoa,Samoa,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
175,20250826T1348,20250601T000000Z,20250603T000000Z,P3D,Shavuot,Shavuot is a Jewish celebration of Moses's descent from Mount Sinai with the Ten Commandments. It is the second of the Jewish pilgrim festivals. Some Jews refrain from working on Shavuot.,Judaism,,,,,,,,,,,,,20250826T1348,,,
176,20250826T1348,20250601T000000Z,20250630T000000Z,P29D,Pride Month (International),"Pride Month celebrates the diversity of the lesbian, gay, bisexual, transgender and intersex community.†",International,,,,,,,,,,,,,20250826T1348,,,
177,20250826T1348,20250602T000000Z,20250602T000000Z,P1D,Reconciliation Day,Australian Capital Territory regional holiday,Australia,,,,,,,,,,,,,20250826T1348,,,
178,,20250602T000000Z,20250602T000000Z,P1D,Republic Day (Italy),National Day of Italy,Italy,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
179,20250826T1348,20250602T000000Z,20250602T000000Z,P1D,Western Australia Day,Western Australia regional holiday,Australia (Western Australia),,,,,,,,,,,,,20250826T1348,,,
180,20250826T1348,20250603T000000Z,20250603T000000Z,P1D,Mabo Day (Australia),"The Day -commemorates the courageous efforts of Eddie Koiki Mabo to overturn the fiction of -terra nullius' (land belonging to no-one), the legal concept that Australia and the Torres Strait Islands were not owned by Indigenous peoples because they did not -use' the land in ways Europeans believed constituted some kind of legal possession'. The decision paved the way for Native Title legislation.†",Australia,,,,,,,,,,,,,20250826T1348,,,
181,20250826T1348,20250604T000000Z,20250609T000000Z,P6D,"The Hajj (Pilgrimage) to Mecca, Saudi Arabia","On specific days of the Islamic month of Zu Al-Hijja, millions of Muslims from around the world congregate in the Prophet's birthplace of Mecca in Saudi Arabia. The Hajj is obligatory for all Muslims who have the means to undertake it.",Islam,,,,,,,,,,,,,20250826T1348,,,
182,20250826T1348,20250605T000000Z,20250605T000000Z,P1D,World Environment Day,,International,,,,,,,,,,,,,20250826T1348,,,REQUIRES_VALIDATION
183,,20250606T000000Z,20250606T000000Z,P1D,National Day (Sweden),National Day of Sweden,Sweden,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
184,20250826T1348,20250606T000000Z,20250610T000000Z,P5D,Eid al Adha,The Eid al Adha means Feast of Sacrifice and commemorates the ordeal of Ibrahim (Abraham) who was asked to sacrifice his only son to prove his faith to Allah (God). The timing of this event is subject to the sighting of the moon) and runs for three to four days.,Islam,,,,,,,,,,,,,20250826T1348,,,
185,20250826T1348,20250608T000000Z,20250608T000000Z,P1D,Pentecost,"A festival where Christians celebrate the gift of the Holy Spirit. It is celebrated on the Sunday 50 days after Easter. The name comes from the Greek†pentekoste, which means -fiftieth'.",Christianity,,,,,,,,,,,,,20250826T1348,,,
186,20250826T1348,20250609T000000Z,20250615T000000Z,P6D,Men's Health Week,,International,,,,,,,,,,,,,20250826T1348,,,REQUIRES_VALIDATION
187,,20250610T000000Z,20250610T000000Z,P1D,"Portugal Day, Cam√µes Day and Day of Portuguese Communities (Portugal)",National Day of Portugal,Portugal,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
188,,20250612T000000Z,20250612T000000Z,P1D,Independence Day (Philippines),National Day of Philippines,Philippines,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
189,,20250612T000000Z,20250612T000000Z,P1D,Russia Day (Russian Federation),National Day of Russian Federation,Russian Federation,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
190,20250826T1348,20250615T000000Z,20250615T000000Z,P1D,Elder Abuse Awareness Day,,International,,,,,,,,,,,,,20250826T1348,,,REQUIRES_VALIDATION
191,20250826T1348,20250615T000000Z,20250621T000000Z,P7D,International Refugee Week,Refugee Week is celebrated around the country. It is an opportunity to acknowledge the success of refugees and humanitarian entrants in Australian society.,International,,,,,,,,,,,,,20250826T1348,,,
192,20250826T1348,20250615T000000Z,20250621T000000Z,P6D,Refugee Week (Australia),"Since early 1945, more than seven million people have come to Australia as new settlers, including around 800 000 people under humanitarian programs, initially as displaced persons and more recently as refugees.††",Australia,,,,,,,,,,,,,20250826T1348,,,
193,,20250617T000000Z,20250617T000000Z,P1D,National Day (Iceland),National Day of Iceland,Iceland,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
194,,20250618T000000Z,20250618T000000Z,P1D,National Day (Seychelles),National Day of Seychelles,Seychelles,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
195,20250826T1348,20250620T000000Z,20250620T000000Z,P1D,Matariki,Matariki is a New Zealand national holiday to celebrate the first rising of the Pleiades star cluster. This marks the beginning of the new year in the MƒÅori lunar calendar.,New Zealand,,,,,,,,,,,,,20250826T1348,,,
196,20250826T1348,20250620T000000Z,20250620T000000Z,P1D,World Refugee Day ,"The Day celebrates the strength and courage of people who have been forced to flee their home country to escape conflict or persecution.' World Refugee Day 'shines a light on the rights, needs and dreams of refugees, helping to mobilise political will and resources so refugees can not only survive but also thrive'.†",International,,,,,,,,,,,,,20250826T1348,,,
197,,20250623T000000Z,20250623T000000Z,P1D,National Day and Official Birthday of HRH the Grand Duke (Luxembourg),National Day of Luxembourg,Luxembourg,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
198,,20250625T000000Z,20250625T000000Z,P1D,Independence Day (Mozambique),National Day of Mozambique,Mozambique,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
199,,20250625T000000Z,20250625T000000Z,P1D,Statehood Day (Slovenia),National Day of Slovenia,Slovenia,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
200,,20250626T000000Z,20250626T000000Z,P1D,National Day (Madagascar),National Day of Madagascar,Madagascar,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
201,20250826T1348,20250627T000000Z,20250627T000000Z,P1D,Al Hijri (Islamic New Year),"According to the lunar or Islamic Calendar, Al Hijri (Al Hijrah in Arabic) is the Islamic New Year observed on the first day of Muharram. Muharram is the Islamic Calendar's first month of the year and is the second holiest month after Ramadan.",Islam,,,,,,,,,,,,,20250826T1348,,,
202,,20250627T000000Z,20250627T000000Z,P1D,Independence Day (Djibouti),National Day of Djibouti,Djibouti,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
203,,20250630T000000Z,20250630T000000Z,P1D,Independence Day (Democratic Republic of the Congo),National Day of Democratic Republic of the Congo,Democratic Republic of the Congo,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
204,,20250701T000000Z,20250701T000000Z,P1D,Canada Day (Canada),National Day of Canada,Canada,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
205,20250826T1348,20250701T000000Z,20250701T000000Z,P1D,Coming of the Light Festival,The Coming of the Light is celebrated by Torres Strait Islanders. It commemorates the arrival of the London Missionary Society on Erub Island in the Torres Strait in 1871. It led to the adoption of Christianity through island communities during the late 19th century.,Australia,,,,,,,,,,,,,20250826T1348,,,
206,20250826T1348,20250701T000000Z,20250701T000000Z,P1D,International Tartan Day,"International Tartan Day is a celebration of Scottish heritage. It commemorates the repeal of an English law in 1782 that banned the wearing of tartan. In North America, this day is celebrated on 6 April, the date the Declaration of Arbroath was signed in 1320.",International,,,,,,,,,,,,,20250826T1348,,,
207,,20250701T000000Z,20250701T000000Z,P1D,National Day (Burundi),National Day of Burundi,Burundi,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
208,,20250701T000000Z,20250701T000000Z,P1D,Unity / Independence Day (Somalia),National Day of Somalia,Somalia,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
209,,20250703T000000Z,20250703T000000Z,P1D,National Day (Belarus),National Day of Belarus,Belarus,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
210,,20250704T000000Z,20250704T000000Z,P1D,Independence Day (United States of America),National Day of United States of America,United States of America,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
211,,20250705T000000Z,20250705T000000Z,P1D,Independence Day (Cape Verde),National Day of Cape Verde,Cape Verde,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
212,,20250705T000000Z,20250705T000000Z,P1D,Independence Day (Venezuela),National Day of Venezuela,Venezuela,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
213,,20250705T000000Z,20250705T000000Z,P1D,Liberation Day (Rwanda),National Day of Rwanda,Rwanda,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
214,20250826T1348,20250705T000000Z,20250706T000000Z,P2D,Ashura,"For Sunni Muslims, Ashura marks Noah's departure from the ark and the exodus of Moses from Egypt. It is usually marked by a day of non-obligatory fasting. For Shia Muslims, it marks the anniversary of the martyrdom of Prophet Muhammad's grandson Hussein in Karbala, Iraq. It is commemorated with public processions.",Islam,,,,,,,,,,,,,20250826T1348,,,
215,,20250706T000000Z,20250706T000000Z,P1D,Independence Day (Comoros),National Day of Comoros,Comoros,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
216,,20250706T000000Z,20250706T000000Z,P1D,National Day (Malawi),National Day of Malawi,Malawi,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
217,20250826T1348,20250706T000000Z,20250713T000000Z,P7D,NAIDOC Week,"NAIDOC Week celebrations are held across Australia to celebrate history, culture and achievements of Aboriginal peoples and Torres Strait Islander peoples.",Australia,,,,,,,,,,,,,20250826T1348,,,
218,,20250707T000000Z,20250707T000000Z,P1D,National Day (Solomon Islands),National Day of Solomon Islands,Solomon Islands,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
219,,20250709T000000Z,20250709T000000Z,P1D,Independence Day (South Sudan),National Day of South Sudan,South Sudan,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
220,20250826T1348,20250710T000000Z,20250710T000000Z,P1D,Asalha Puja (Dhamma Day),Asalha Puja Day or the Dhamma Day celebrates the first teaching of the Buddha. This Buddhist event commemorates the first sermon delivered by the Buddha after his enlightenment. This event is one of the most important festivals for Theravada Buddhists.,Buddhism,,,,,,,,,,,,,20250826T1348,,,
221,,20250710T000000Z,20250710T000000Z,P1D,Independence Day (Bahamas),National Day of Bahamas,Bahamas,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
222,,20250711T000000Z,20250711T000000Z,P1D,Naadam (Mongolia),National Day of Mongolia,Mongolia,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
223,,20250712T000000Z,20250712T000000Z,P1D,Independence Day (Kiribati),National Day of Kiribati,Kiribati,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
224,,20250712T000000Z,20250712T000000Z,P1D,Independence Day (Sao Tome and Principe),National Day of Sao Tome and Principe,Sao Tome and Principe,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
225,,20250713T000000Z,20250713T000000Z,P1D,National Day (Montenegro),National Day of Montenegro,Montenegro,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
226,,20250714T000000Z,20250714T000000Z,P1D,Bastille Day (France),National Day of France,France,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
227,20250826T1348,20250714T000000Z,20250714T000000Z,P1D,International Non-Binary People's Day ,Held precisely in between International Men's Day and International Women's Day.†,International,,,,,,,,,,,,,20250826T1348,,,
228,20250826T1348,20250719T000000Z,20250721T000000Z,P3D,Karsa (Mandaean New Year),Karsa marks the beginning of a new year for Mandaeans and is spent and celebrated with family. It begins at dusk and ends 36 hours later.,Mandaean,,,,,,,,,,,,,20250826T1348,,,
229,,20250720T000000Z,20250720T000000Z,P1D,National Day (Colombia),National Day of Colombia,Colombia,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
230,,20250721T000000Z,20250721T000000Z,P1D,National Day (Belgium),Accession of King Leopold I (1831) (Belgium),Belgium,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
231,,20250723T000000Z,20250723T000000Z,P1D,Anniversary of Revolution of 23 July (Egypt),National Day of Egypt,Egypt,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
232,,20250726T000000Z,20250726T000000Z,P1D,Independence Day (Liberia),National Day of Liberia,Liberia,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
233,,20250726T000000Z,20250726T000000Z,P1D,Qaumee Dhuvas (Maldives),National Day of Maldives,Maldives,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
234,,20250728T000000Z,20250728T000000Z,P1D,Independence Day (Peru),National Day of Peru,Peru,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
235,,20250730T000000Z,20250730T000000Z,P1D,Independence Day (Vanuatu),National Day of Vanuatu,Vanuatu,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
236,20250826T1348,20250730T000000Z,20250730T000000Z,P1D,International Day of Friendship ,"The day was proclaimed in 2011 by the UNGA -with the idea that friendship between peoples, countries, cultures and individuals can inspire peace efforts and build bridges between communities.'†",International,,,,,,,,,,,,,20250826T1348,,,
237,,20250730T000000Z,20250730T000000Z,P1D,Throne Day (Morocco),National Day of Morocco,Morocco,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
238,,20250801T000000Z,20250801T000000Z,P1D,Foundation of the Swiss Confederation (Switzerland),National Day of Switzerland,Switzerland,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
239,,20250801T000000Z,20250801T000000Z,P1D,National Day (Benin),National Day of Benin,Benin,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
