Design Token,Light,Dark,Teams Light,Teams Dark,Teams High Contrast
colorPaletteRoyalBlueBackground2,#9ABFDC,#002C4E,#9ABFDC,#002C4E,#000000
colorPaletteRoyalBlueBorderActive,#004E8C,#4A89BA,#004E8C,#4A89BA,#1AEBFF
colorPaletteRoyalBlueForeground2,#002C4E,#9ABFDC,#002C4E,#9ABFDC,#FFFFFF
colorPaletteSeafoamBackground2,#A8F0CD,#00723B,#A8F0CD,#00723B,#000000
colorPaletteSeafoamBorderActive,#00CC6A,#5AE0A0,#00CC6A,#5AE0A0,#1AEBFF
colorPaletteSeafoamForeground2,#00723B,#A8F0CD,#00723B,#A8F0CD,#FFFFFF
colorPaletteSteelBackground2,#94C8D4,#00333F,#94C8D4,#00333F,#000000
colorPaletteSteelBorderActive,#005B70,#4496A9,#005B70,#4496A9,#1AEBFF
colorPaletteSteelForeground2,#00333F,#94C8D4,#00333F,#94C8D4,#FFFFFF
colorPaletteTealBackground2,#9BD9DB,#02494C,#9BD9DB,#02494C,#000000
colorPaletteTealBorderActive,#038387,#4CB4B7,#038387,#4CB4B7,#1AEBFF
colorPaletteTealForeground2,#02494C,#9BD9DB,#02494C,#9BD9DB,#FFFFFF
colorPaletteYellowBackground1,#FFFEF5,#4C4400,#FFFEF5,#4C4400,#000000
colorPaletteYellowBackground2,#FEF7B2,#817400,#FEF7B2,#817400,#000000
colorPaletteYellowBackground3,#FDE300,#FDE300,#FDE300,#FDE300,#FFFFFF
colorPaletteYellowBorder1,#FEF7B2,#FDE300,#FEF7B2,#FDE300,#FFFFFF
colorPaletteYellowBorder2,#FDE300,#FDEA3D,#FDE300,#FDEA3D,#FFFFFF
colorPaletteYellowBorderActive,#FDE300,#FEEE66,#FDE300,#FEEE66,#1AEBFF
colorPaletteYellowForeground1,#817400,#FEEE66,#817400,#FEEE66,#FFFFFF
colorPaletteYellowForeground2,#817400,#FEF7B2,#817400,#FEF7B2,#FFFFFF
colorPaletteYellowForeground3,#FDE300,#FDEA3D,#FDE300,#FDEA3D,#FFFFFF
colorPaletteYellowForegroundInverted,#FEF7B2,#817400,#FEF7B2,#817400,#FFFFFF
colorScrollbarOverlay,"RGBA(0, 0, 0, 0.5)","RGBA(255, 255, 255, 0.6)","RGBA(0, 0, 0, 0.5)","RGBA(255, 255, 255, 0.6)",#FFFFFF
colorStatusDangerBackground1,#FDF3F4,#3B0509,#FDF3F4,#3B0509,#000000
colorStatusDangerBackground2,#EEACB2,#6E0811,#EEACB2,#6E0811,#000000
colorStatusDangerBackground3,#C50F1F,#C50F1F,#C50F1F,#C50F1F,#FFFFFF
colorStatusDangerBackground3Hover,#B10E1C,#B10E1C,#B10E1C,#B10E1C,#1AEBFF
colorStatusDangerBackground3Pressed,#960B18,#960B18,#960B18,#960B18,#1AEBFF
colorStatusDangerBorder1,#EEACB2,#C50F1F,#EEACB2,#C50F1F,#FFFFFF
colorStatusDangerBorder2,#C50F1F,#DC626D,#C50F1F,#DC626D,#FFFFFF
colorStatusDangerBorderActive,#C50F1F,#DC626D,#C50F1F,#DC626D,#1AEBFF
colorStatusDangerForeground1,#B10E1C,#DC626D,#B10E1C,#DC626D,#FFFFFF
colorStatusDangerForeground2,#6E0811,#EEACB2,#6E0811,#EEACB2,#FFFFFF
colorStatusDangerForeground3,#C50F1F,#EEACB2,#C50F1F,#EEACB2,#FFFFFF
colorStatusDangerForegroundInverted,#DC626D,#B10E1C,#DC626D,#B10E1C,#FFFFFF
colorStatusSuccessBackground1,#F1FAF1,#052505,#F1FAF1,#052505,#000000
colorStatusSuccessBackground2,#9FD89F,#094509,#9FD89F,#094509,#000000
colorStatusSuccessBackground3,#107C10,#107C10,#107C10,#107C10,#FFFFFF
colorStatusSuccessBorder1,#9FD89F,#107C10,#9FD89F,#107C10,#FFFFFF
colorStatusSuccessBorder2,#107C10,#9FD89F,#107C10,#9FD89F,#FFFFFF
colorStatusSuccessBorderActive,#107C10,#54B054,#107C10,#54B054,#1AEBFF
colorStatusSuccessForeground1,#0E700E,#54B054,#0E700E,#54B054,#FFFFFF
colorStatusSuccessForeground2,#094509,#9FD89F,#094509,#9FD89F,#FFFFFF
colorStatusSuccessForeground3,#107C10,#9FD89F,#107C10,#9FD89F,#FFFFFF
colorStatusSuccessForegroundInverted,#54B054,#0E700E,#54B054,#0E700E,#FFFFFF
colorStatusWarningBackground1,#FFF9F5,#4A1E04,#FFF9F5,#4A1E04,#000000
colorStatusWarningBackground2,#FDCFB4,#8A3707,#FDCFB4,#8A3707,#000000
colorStatusWarningBackground3,#F7630C,#F7630C,#F7630C,#F7630C,#FFFFFF
colorStatusWarningBorder1,#FDCFB4,#F7630C,#FDCFB4,#F7630C,#FFFFFF
colorStatusWarningBorder2,#BC4B09,#F98845,#BC4B09,#F98845,#FFFFFF
colorStatusWarningBorderActive,#F7630C,#FAA06B,#F7630C,#FAA06B,#1AEBFF
colorStatusWarningForeground1,#BC4B09,#FAA06B,#BC4B09,#FAA06B,#FFFFFF
colorStatusWarningForeground2,#8A3707,#FDCFB4,#8A3707,#FDCFB4,#FFFFFF
colorStatusWarningForeground3,#BC4B09,#F98845,#BC4B09,#F98845,#FFFFFF
colorStatusWarningForegroundInverted,#FAA06B,#BC4B09,#FAA06B,#BC4B09,#FFFFFF
colorStrokeFocus1,#FFFFFF,#000000,#FFFFFF,#000000,#000000
colorStrokeFocus2,#000000,#FFFFFF,#000000,#FFFFFF,#1AEBFF
colorSubtleBackground,TRANSPARENT,TRANSPARENT,TRANSPARENT,TRANSPARENT,TRANSPARENT
colorSubtleBackgroundHover,#F5F5F5,#383838,#F5F5F5,#383838,#1AEBFF
colorSubtleBackgroundInverted,TRANSPARENT,TRANSPARENT,TRANSPARENT,TRANSPARENT,TRANSPARENT
colorSubtleBackgroundInvertedHover,"RGBA(0, 0, 0, 0.1)","RGBA(0, 0, 0, 0.1)","RGBA(0, 0, 0, 0.1)","RGBA(0, 0, 0, 0.1)",#1AEBFF
colorSubtleBackgroundInvertedPressed,"RGBA(0, 0, 0, 0.3)","RGBA(0, 0, 0, 0.3)","RGBA(0, 0, 0, 0.3)","RGBA(0, 0, 0, 0.3)",#1AEBFF
colorSubtleBackgroundInvertedSelected,"RGBA(0, 0, 0, 0.2)","RGBA(0, 0, 0, 0.2)","RGBA(0, 0, 0, 0.2)","RGBA(0, 0, 0, 0.2)",#1AEBFF
colorSubtleBackgroundLightAlphaHover,"RGBA(255, 255, 255, 0.7)","RGBA(36, 36, 36, 0.8)","RGBA(255, 255, 255, 0.7)","RGBA(36, 36, 36, 0.8)",#1AEBFF
colorSubtleBackgroundLightAlphaPressed,"RGBA(255, 255, 255, 0.5)","RGBA(36, 36, 36, 0.5)","RGBA(255, 255, 255, 0.5)","RGBA(36, 36, 36, 0.5)",#1AEBFF
colorSubtleBackgroundLightAlphaSelected,TRANSPARENT,TRANSPARENT,TRANSPARENT,TRANSPARENT,#1AEBFF
colorSubtleBackgroundPressed,#E0E0E0,#2E2E2E,#E0E0E0,#2E2E2E,#1AEBFF
colorSubtleBackgroundSelected,#EBEBEB,#333333,#EBEBEB,#333333,#1AEBFF
colorTransparentBackground,TRANSPARENT,TRANSPARENT,TRANSPARENT,TRANSPARENT,TRANSPARENT
colorTransparentBackgroundHover,TRANSPARENT,TRANSPARENT,TRANSPARENT,TRANSPARENT,#1AEBFF
colorTransparentBackgroundPressed,TRANSPARENT,TRANSPARENT,TRANSPARENT,TRANSPARENT,#1AEBFF
colorTransparentBackgroundSelected,TRANSPARENT,TRANSPARENT,TRANSPARENT,TRANSPARENT,#1AEBFF
colorTransparentStroke,TRANSPARENT,TRANSPARENT,TRANSPARENT,TRANSPARENT,#FFFFFF
colorTransparentStrokeDisabled,TRANSPARENT,TRANSPARENT,TRANSPARENT,TRANSPARENT,#3FF23F
colorTransparentStrokeInteractive,TRANSPARENT,TRANSPARENT,TRANSPARENT,TRANSPARENT,#1AEBFF
